ID_region,year,p1767-wyjazdy
011210000000,1999,199136
011210000000,2000,247542
011210000000,2001,266932
011210000000,2002,245098
011210000000,2003,283214
011210000000,2004,408031
011210000000,2005,793455
011210000000,2006,1193690
011210000000,2007,1542398
011210000000,2008,1464917
011210000000,2009,1341304
011210000000,2010,1429293
011210000000,2011,1512187
011210000000,2012,1722070
011210000000,2013,1835626
011210000000,2014,1916867
011210000000,2015,2117009
011210000000,2016,2502162
011210000000,2017,2927752
011210000000,2018,3399949
011210000000,2019,4211719
011210000000,2020,1319796
012410000000,1999,79804
012410000000,2000,79460
012410000000,2001,85367
012410000000,2002,99053
012410000000,2003,126661
012410000000,2004,314454
012410000000,2005,554362
012410000000,2006,735590
012410000000,2007,1003700
012410000000,2008,1191934
012410000000,2009,1182220
012410000000,2010,1197974
012410000000,2011,1260973
012410000000,2012,1269267
012410000000,2013,1273021
012410000000,2014,1353626
012410000000,2015,1536606
012410000000,2016,1617359
012410000000,2017,1953216
012410000000,2018,2427628
012410000000,2019,2423619
012410000000,2020,717759
020810000000,1999,87
020810000000,2000,110
020810000000,2001,3045
020810000000,2002,4095
020810000000,2003,4206
020810000000,2004,2388
020810000000,2005,510
020810000000,2006,4397
020810000000,2007,3557
020810000000,2008,2911
020810000000,2009,1781
020810000000,2010,2192
020810000000,2011,3837
020810000000,2012,6519
020810000000,2013,6607
020810000000,2014,5673
020810000000,2015,7195
020810000000,2016,4984
020810000000,2017,9274
020810000000,2018,11649
020810000000,2019,17384
020810000000,2020,9903
023010000000,1999,91547
023010000000,2000,100208
023010000000,2001,107570
023010000000,2002,106864
023010000000,2003,123133
023010000000,2004,174103
023010000000,2005,198133
023010000000,2006,332826
023010000000,2007,431620
023010000000,2008,626088
023010000000,2009,628118
023010000000,2010,693888
023010000000,2011,725051
023010000000,2012,794315
023010000000,2013,676492
023010000000,2014,721536
023010000000,2015,751911
023010000000,2016,851828
023010000000,2017,918316
023010000000,2018,1229552
023010000000,2019,1190674
023010000000,2020,331365
023210000000,1999,24017
023210000000,2000,27758
023210000000,2001,35100
023210000000,2002,38127
023210000000,2003,44395
023210000000,2004,46593
023210000000,2005,14665
023210000000,2006,90272
023210000000,2007,115615
023210000000,2008,148966
023210000000,2009,140474
023210000000,2010,136128
023210000000,2011,130064
023210000000,2012,176106
023210000000,2013,162078
023210000000,2014,134322
023210000000,2015,207650
023210000000,2016,235079
023210000000,2017,291393
023210000000,2018,300152
023210000000,2019,292874
023210000000,2020,92722
030210000000,1999,95904
030210000000,2000,106244
030210000000,2001,120621
030210000000,2002,119294
030210000000,2003,143516
030210000000,2004,181165
030210000000,2005,235378
030210000000,2006,439639
030210000000,2007,650259
030210000000,2008,737931
030210000000,2009,667780
030210000000,2010,806014
030210000000,2011,809016
030210000000,2012,977656
030210000000,2013,946298
030210000000,2014,1020217
030210000000,2015,1139310
030210000000,2016,1188247
030210000000,2017,1394679
030210000000,2018,1650213
030210000000,2019,1749838
030210000000,2020,502968
031610000000,1999,0
031610000000,2000,0
031610000000,2001,0
031610000000,2002,0
031610000000,2003,0
031610000000,2004,0
031610000000,2005,0
031610000000,2006,0
031610000000,2007,0
031610000000,2008,0
031610000000,2009,0
031610000000,2010,0
031610000000,2011,0
031610000000,2012,0
031610000000,2013,0
031610000000,2014,0
031610000000,2015,0
031610000000,2016,0
031610000000,2017,0
031610000000,2018,0
031610000000,2019,0
031610000000,2020,0
040410000000,1999,2682
040410000000,2000,6329
040410000000,2001,5819
040410000000,2002,6966
040410000000,2003,10224
040410000000,2004,12622
040410000000,2005,38160
040410000000,2006,64935
040410000000,2007,79011
040410000000,2008,140719
040410000000,2009,150123
040410000000,2010,140915
040410000000,2011,141387
040410000000,2012,171165
040410000000,2013,173473
040410000000,2014,143553
040410000000,2015,170585
040410000000,2016,167971
040410000000,2017,164293
040410000000,2018,205609
040410000000,2019,211773
040410000000,2020,64322
042210000000,1999,116175
042210000000,2000,130605
042210000000,2001,157384
042210000000,2002,158932
042210000000,2003,180769
042210000000,2004,233650
042210000000,2005,334500
042210000000,2006,617451
042210000000,2007,842891
042210000000,2008,969244
042210000000,2009,953498
042210000000,2010,1112973
042210000000,2011,1237488
042210000000,2012,1458864
042210000000,2013,1427355
042210000000,2014,1653310
042210000000,2015,1851046
042210000000,2016,2002217
042210000000,2017,2306803
042210000000,2018,2467972
042210000000,2019,2678852
042210000000,2020,852605
042810000000,1999,1088
042810000000,2000,957
042810000000,2001,1071
042810000000,2002,608
042810000000,2003,223
042810000000,2004,214
042810000000,2005,170
042810000000,2006,0
042810000000,2007,0
042810000000,2008,0
042810000000,2009,0
042810000000,2010,0
042810000000,2011,0
042810000000,2012,0
042810000000,2013,0
042810000000,2014,0
042810000000,2015,0
042810000000,2016,21676
042810000000,2017,52918
042810000000,2018,60552
042810000000,2019,74659
042810000000,2020,31685
051010000000,1999,1864
051010000000,2000,403
051010000000,2001,1466
051010000000,2002,1011
051010000000,2003,3655
051010000000,2004,3052
051010000000,2005,9173
051010000000,2006,96507
051010000000,2007,157897
051010000000,2008,177314
051010000000,2009,168185
051010000000,2010,209696
051010000000,2011,198880
051010000000,2012,235997
051010000000,2013,180368
051010000000,2014,128184
051010000000,2015,145963
051010000000,2016,117767
051010000000,2017,103602
051010000000,2018,108542
051010000000,2019,121433
051010000000,2020,37698
052610000000,1999,0
052610000000,2000,0
052610000000,2001,0
052610000000,2002,0
052610000000,2003,0
052610000000,2004,0
052610000000,2005,0
052610000000,2006,0
052610000000,2007,0
052610000000,2008,0
052610000000,2009,0
052610000000,2010,0
052610000000,2011,0
052610000000,2012,0
052610000000,2013,0
052610000000,2014,0
052610000000,2015,0
052610000000,2016,0
052610000000,2017,0
052610000000,2018,0
052610000000,2019,0
052610000000,2020,0
060610000000,1999,0
060610000000,2000,0
060610000000,2001,0
060610000000,2002,0
060610000000,2003,0
060610000000,2004,0
060610000000,2005,0
060610000000,2006,0
060610000000,2007,0
060610000000,2008,0
060610000000,2009,0
060610000000,2010,0
060610000000,2011,0
060610000000,2012,0
060610000000,2013,96027
060610000000,2014,94594
060610000000,2015,132489
060610000000,2016,190512
060610000000,2017,216242
060610000000,2018,233231
060610000000,2019,178918
060610000000,2020,62382
061810000000,1999,6082
061810000000,2000,4520
061810000000,2001,14204
061810000000,2002,26721
061810000000,2003,34507
061810000000,2004,37192
061810000000,2005,47627
061810000000,2006,107110
061810000000,2007,139759
061810000000,2008,164117
061810000000,2009,195097
061810000000,2010,230320
061810000000,2011,247631
061810000000,2012,285919
061810000000,2013,299526
061810000000,2014,303731
061810000000,2015,324134
061810000000,2016,334236
061810000000,2017,346710
061810000000,2018,386360
061810000000,2019,385850
061810000000,2020,118498
062010000000,1999,0
062010000000,2000,0
062010000000,2001,0
062010000000,2002,0
062010000000,2003,0
062010000000,2004,0
062010000000,2005,0
062010000000,2006,0
062010000000,2007,0
062010000000,2008,0
062010000000,2009,0
062010000000,2010,0
062010000000,2011,0
062010000000,2012,0
062010000000,2013,0
062010000000,2014,0
062010000000,2015,0
062010000000,2016,0
062010000000,2017,0
062010000000,2018,0
062010000000,2019,0
062010000000,2020,0
071410000000,1999,2016616
071410000000,2000,2173468
071410000000,2001,2353684
071410000000,2002,2473890
071410000000,2003,2591613
071410000000,2004,3056664
071410000000,2005,3557914
071410000000,2006,4047724
071410000000,2007,4643775
071410000000,2008,4738332
071410000000,2009,4158246
071410000000,2010,4368526
071410000000,2011,4671558
071410000000,2012,4785361
071410000000,2013,5530505
071410000000,2014,6109139
071410000000,2015,6891649
071410000000,2016,7833931
071410000000,2017,9338190
071410000000,2018,10416548
071410000000,2019,10967722
071410000000,2020,3147799
071420000000,1999,0
071420000000,2000,0
071420000000,2001,0
071420000000,2002,0
071420000000,2003,0
071420000000,2004,0
071420000000,2005,0
071420000000,2006,0
071420000000,2007,0
071420000000,2008,0
071420000000,2009,0
071420000000,2010,0
071420000000,2011,0
071420000000,2012,0
071420000000,2013,0
071420000000,2014,0
071420000000,2015,362
071420000000,2016,4810
071420000000,2017,5241
071420000000,2018,114
071420000000,2019,0
071420000000,2020,0
