ID_region,year,p2504-3-kwartał-ogółem
011210000000,2005,2323.69
011210000000,2006,2455.27
011210000000,2007,2694.54
011210000000,2008,2991.14
011210000000,2009,3109.13
011210000000,2010,3241.3
011210000000,2011,3465.33
011210000000,2012,3520.07
011210000000,2013,3643.99
011210000000,2014,3775.8
011210000000,2015,3938.3
011210000000,2016,4145.74
011210000000,2017,4415.87
011210000000,2018,4707.11
011210000000,2019,5155.7
011210000000,2020,5545.18
011210000000,2021,6085.01
012410000000,2005,2580.96
012410000000,2006,2715.85
012410000000,2007,2944.87
012410000000,2008,3298.19
012410000000,2009,3402.03
012410000000,2010,3524.17
012410000000,2011,3775.52
012410000000,2012,3859.13
012410000000,2013,4005.61
012410000000,2014,4058.07
012410000000,2015,4150.77
012410000000,2016,4269.12
012410000000,2017,4455.1
012410000000,2018,4778.44
012410000000,2019,5200.35
012410000000,2020,5384.56
012410000000,2021,5846.28
020810000000,2005,2161.06
020810000000,2006,2260.48
020810000000,2007,2495.71
020810000000,2008,2696.81
020810000000,2009,2859.98
020810000000,2010,2867.13
020810000000,2011,3141.46
020810000000,2012,3181.02
020810000000,2013,3343.24
020810000000,2014,3450.76
020810000000,2015,3585.4
020810000000,2016,3754.67
020810000000,2017,3953.77
020810000000,2018,4307.92
020810000000,2019,4605.29
020810000000,2020,4865.48
020810000000,2021,5333.9
023010000000,2005,2285.44
023010000000,2006,2407.56
023010000000,2007,2681.16
023010000000,2008,2943.87
023010000000,2009,3063.92
023010000000,2010,3201.72
023010000000,2011,3361.11
023010000000,2012,3464.96
023010000000,2013,3548.65
023010000000,2014,3630.3
023010000000,2015,3751.84
023010000000,2016,3948.01
023010000000,2017,4184.47
023010000000,2018,4427.75
023010000000,2019,4756.32
023010000000,2020,4891.13
023010000000,2021,5466.37
023210000000,2005,2291.49
023210000000,2006,2385.23
023210000000,2007,2627.64
023210000000,2008,2952.75
023210000000,2009,3093.2
023210000000,2010,3169.77
023210000000,2011,3342.75
023210000000,2012,3424.03
023210000000,2013,3594.61
023210000000,2014,3701.56
023210000000,2015,3845.72
023210000000,2016,4020.07
023210000000,2017,4177.41
023210000000,2018,4472.52
023210000000,2019,4871.71
023210000000,2020,5169.05
023210000000,2021,5630.76
030210000000,2005,2424.58
030210000000,2006,2597.86
030210000000,2007,2877.41
030210000000,2008,3185.27
030210000000,2009,3311.14
030210000000,2010,3440.31
030210000000,2011,3587.55
030210000000,2012,3711.81
030210000000,2013,3851.09
030210000000,2014,4048.89
030210000000,2015,4192.01
030210000000,2016,4474.43
030210000000,2017,4607.47
030210000000,2018,4962.2
030210000000,2019,5311.3
030210000000,2020,5645.03
030210000000,2021,6192.7
031610000000,2005,2270.75
031610000000,2006,2414.13
031610000000,2007,2669.04
031610000000,2008,2978.73
031610000000,2009,3080.86
031610000000,2010,3146.34
031610000000,2011,3336.49
031610000000,2012,3363.57
031610000000,2013,3515.52
031610000000,2014,3697.93
031610000000,2015,3776.92
031610000000,2016,3935.27
031610000000,2017,4147.62
031610000000,2018,4373.72
031610000000,2019,4787.81
031610000000,2020,5057.44
031610000000,2021,5494.64
040410000000,2005,2174.47
040410000000,2006,2287.96
040410000000,2007,2448.34
040410000000,2008,2720.56
040410000000,2009,2883.78
040410000000,2010,2979.45
040410000000,2011,3145.38
040410000000,2012,3257.6
040410000000,2013,3388.3
040410000000,2014,3494.86
040410000000,2015,3590.64
040410000000,2016,3723.43
040410000000,2017,3949.93
040410000000,2018,4235.86
040410000000,2019,4640.7
040410000000,2020,4983.04
040410000000,2021,5436.07
042210000000,2005,2543.27
042210000000,2006,2671.13
042210000000,2007,3018.36
042210000000,2008,3254.83
042210000000,2009,3352.86
042210000000,2010,3447.73
042210000000,2011,3653.36
042210000000,2012,3737.29
042210000000,2013,3883.61
042210000000,2014,4059.2
042210000000,2015,4193.17
042210000000,2016,4352.28
042210000000,2017,4544.14
042210000000,2018,4868.64
042210000000,2019,5289.88
042210000000,2020,5537.91
042210000000,2021,6013.84
042810000000,2005,2135.33
042810000000,2006,2213.57
042810000000,2007,2411.58
042810000000,2008,2637.33
042810000000,2009,2794.06
042810000000,2010,2909.11
042810000000,2011,3053.54
042810000000,2012,3138.23
042810000000,2013,3260.84
042810000000,2014,3410.12
042810000000,2015,3501.73
042810000000,2016,3632.48
042810000000,2017,3804.31
042810000000,2018,4054.46
042810000000,2019,4376.11
042810000000,2020,4740.65
042810000000,2021,5168.01
051010000000,2005,2183.73
051010000000,2006,2268.0
051010000000,2007,2467.17
051010000000,2008,2794.39
051010000000,2009,2936.06
051010000000,2010,3082.59
051010000000,2011,3320.36
051010000000,2012,3434.55
051010000000,2013,3563.12
051010000000,2014,3672.78
051010000000,2015,3794.05
051010000000,2016,3916.1
051010000000,2017,4136.46
051010000000,2018,4494.96
051010000000,2019,4863.68
051010000000,2020,5122.87
051010000000,2021,5631.83
052610000000,2005,2171.09
052610000000,2006,2266.35
052610000000,2007,2478.72
052610000000,2008,2817.65
052610000000,2009,2930.95
052610000000,2010,3022.56
052610000000,2011,3197.34
052610000000,2012,3301.42
052610000000,2013,3390.51
052610000000,2014,3476.22
052610000000,2015,3597.98
052610000000,2016,3723.09
052610000000,2017,3920.85
052610000000,2018,4226.84
052610000000,2019,4529.34
052610000000,2020,4885.97
052610000000,2021,5300.15
060610000000,2005,2198.67
060610000000,2006,2289.54
060610000000,2007,2494.13
060610000000,2008,2802.99
060610000000,2009,2915.96
060610000000,2010,3058.89
060610000000,2011,3273.75
060610000000,2012,3361.49
060610000000,2013,3508.07
060610000000,2014,3539.44
060610000000,2015,3695.42
060610000000,2016,3798.04
060610000000,2017,3968.01
060610000000,2018,4226.27
060610000000,2019,4602.36
060610000000,2020,4953.44
060610000000,2021,5328.99
061810000000,2005,2091.06
061810000000,2006,2183.21
061810000000,2007,2392.35
061810000000,2008,2675.91
061810000000,2009,2807.82
061810000000,2010,2921.73
061810000000,2011,3075.04
061810000000,2012,3171.55
061810000000,2013,3343.96
061810000000,2014,3434.73
061810000000,2015,3568.04
061810000000,2016,3684.41
061810000000,2017,3858.61
061810000000,2018,4161.38
061810000000,2019,4462.73
061810000000,2020,4711.12
061810000000,2021,5126.34
062010000000,2005,2204.72
062010000000,2006,2302.21
062010000000,2007,2578.2
062010000000,2008,2846.19
062010000000,2009,2963.3
062010000000,2010,3071.75
062010000000,2011,3221.69
062010000000,2012,3338.28
062010000000,2013,3425.58
062010000000,2014,3573.39
062010000000,2015,3672.22
062010000000,2016,3809.92
062010000000,2017,4043.86
062010000000,2018,4330.3
062010000000,2019,4644.56
062010000000,2020,4965.48
062010000000,2021,5438.15
071410000000,2005,0.0
071410000000,2006,0.0
071410000000,2007,0.0
071410000000,2008,0.0
071410000000,2009,0.0
071410000000,2010,0.0
071410000000,2011,0.0
071410000000,2012,0.0
071410000000,2013,0.0
071410000000,2014,0.0
071410000000,2015,0.0
071410000000,2016,0.0
071410000000,2017,0.0
071410000000,2018,0.0
071410000000,2019,6433.36
071410000000,2020,6675.16
071410000000,2021,7230.6
071420000000,2005,0.0
071420000000,2006,0.0
071420000000,2007,0.0
071420000000,2008,0.0
071420000000,2009,0.0
071420000000,2010,0.0
071420000000,2011,0.0
071420000000,2012,0.0
071420000000,2013,0.0
071420000000,2014,0.0
071420000000,2015,0.0
071420000000,2016,0.0
071420000000,2017,0.0
071420000000,2018,0.0
071420000000,2019,4842.06
071420000000,2020,5125.35
071420000000,2021,5636.76
