ID_region,year,p2861-przeciętna-liczba-emerytów-i-rencistów-ogółem
011210000000,1999,820701
011210000000,2000,816317
011210000000,2001,800306
011210000000,2002,783214
011210000000,2003,773596
011210000000,2004,768948
011210000000,2005,762042
011210000000,2006,757377
011210000000,2007,757481
011210000000,2008,758660
011210000000,2009,761638
011210000000,2010,756067
011210000000,2011,744516
011210000000,2012,733694
011210000000,2013,726883
011210000000,2014,719733
011210000000,2015,718757
011210000000,2016,719152
011210000000,2017,719851
011210000000,2018,739126
011210000000,2019,743998
011210000000,2020,746829
012410000000,1999,1120380
012410000000,2000,1140231
012410000000,2001,1144639
012410000000,2002,1139050
012410000000,2003,1141867
012410000000,2004,1148448
012410000000,2005,1150212
012410000000,2006,1154742
012410000000,2007,1167999
012410000000,2008,1180351
012410000000,2009,1192451
012410000000,2010,1186494
012410000000,2011,1172156
012410000000,2012,1160856
012410000000,2013,1153300
012410000000,2014,1146675
012410000000,2015,1147272
012410000000,2016,1149276
012410000000,2017,1151366
012410000000,2018,1179798
012410000000,2019,1184604
012410000000,2020,1186606
020810000000,1999,246339
020810000000,2000,239366
020810000000,2001,234017
020810000000,2002,230793
020810000000,2003,228805
020810000000,2004,228222
020810000000,2005,226402
020810000000,2006,224422
020810000000,2007,224879
020810000000,2008,225327
020810000000,2009,228789
020810000000,2010,229094
020810000000,2011,223367
020810000000,2012,219346
020810000000,2013,217038
020810000000,2014,214556
020810000000,2015,214766
020810000000,2016,215734
020810000000,2017,216860
020810000000,2018,224507
020810000000,2019,226357
020810000000,2020,227596
023010000000,1999,803429
023010000000,2000,797799
023010000000,2001,785888
023010000000,2002,777559
023010000000,2003,772510
023010000000,2004,768409
023010000000,2005,760498
023010000000,2006,757558
023010000000,2007,761206
023010000000,2008,769121
023010000000,2009,775921
023010000000,2010,766825
023010000000,2011,759963
023010000000,2012,754865
023010000000,2013,748665
023010000000,2014,742434
023010000000,2015,744822
023010000000,2016,749486
023010000000,2017,754242
023010000000,2018,779430
023010000000,2019,788403
023010000000,2020,794860
023210000000,1999,353925
023210000000,2000,357210
023210000000,2001,356734
023210000000,2002,358534
023210000000,2003,359851
023210000000,2004,361608
023210000000,2005,361292
023210000000,2006,362669
023210000000,2007,364527
023210000000,2008,369775
023210000000,2009,376467
023210000000,2010,375129
023210000000,2011,367868
023210000000,2012,361331
023210000000,2013,358744
023210000000,2014,355173
023210000000,2015,356070
023210000000,2016,357609
023210000000,2017,359628
023210000000,2018,373600
023210000000,2019,377901
023210000000,2020,381723
030210000000,1999,698696
030210000000,2000,694938
030210000000,2001,688366
030210000000,2002,679217
030210000000,2003,675162
030210000000,2004,674851
030210000000,2005,671024
030210000000,2006,669486
030210000000,2007,673387
030210000000,2008,679057
030210000000,2009,687108
030210000000,2010,680021
030210000000,2011,668761
030210000000,2012,658322
030210000000,2013,650942
030210000000,2014,643710
030210000000,2015,643950
030210000000,2016,646170
030210000000,2017,649591
030210000000,2018,672612
030210000000,2019,678227
030210000000,2020,682168
031610000000,1999,219090
031610000000,2000,217972
031610000000,2001,214393
031610000000,2002,214031
031610000000,2003,213771
031610000000,2004,214176
031610000000,2005,213404
031610000000,2006,212859
031610000000,2007,213983
031610000000,2008,216682
031610000000,2009,219020
031610000000,2010,215577
031610000000,2011,211464
031610000000,2012,208143
031610000000,2013,204532
031610000000,2014,201813
031610000000,2015,201774
031610000000,2016,202494
031610000000,2017,200069
031610000000,2018,205686
031610000000,2019,210041
031610000000,2020,211388
040410000000,1999,480886
040410000000,2000,476282
040410000000,2001,469368
040410000000,2002,465129
040410000000,2003,464483
040410000000,2004,466143
040410000000,2005,464529
040410000000,2006,464394
040410000000,2007,467078
040410000000,2008,471427
040410000000,2009,474121
040410000000,2010,467718
040410000000,2011,464926
040410000000,2012,462406
040410000000,2013,458982
040410000000,2014,455776
040410000000,2015,457787
040410000000,2016,460915
040410000000,2017,464072
040410000000,2018,478284
040410000000,2019,482324
040410000000,2020,485138
042210000000,1999,456142
042210000000,2000,443421
042210000000,2001,440612
042210000000,2002,441224
042210000000,2003,442989
042210000000,2004,447179
042210000000,2005,447496
042210000000,2006,448477
042210000000,2007,452537
042210000000,2008,457373
042210000000,2009,461341
042210000000,2010,455605
042210000000,2011,453332
042210000000,2012,452852
042210000000,2013,449447
042210000000,2014,447117
042210000000,2015,448840
042210000000,2016,450769
042210000000,2017,453543
042210000000,2018,470463
042210000000,2019,476491
042210000000,2020,480916
042810000000,1999,251691
042810000000,2000,306595
042810000000,2001,301928
042810000000,2002,300173
042810000000,2003,299594
042810000000,2004,299278
042810000000,2005,297641
042810000000,2006,296493
042810000000,2007,298631
042810000000,2008,302052
042810000000,2009,303866
042810000000,2010,299695
042810000000,2011,297478
042810000000,2012,296427
042810000000,2013,294026
042810000000,2014,290595
042810000000,2015,291695
042810000000,2016,292594
042810000000,2017,293288
042810000000,2018,303364
042810000000,2019,306323
042810000000,2020,309063
051010000000,1999,691527
051010000000,2000,689494
051010000000,2001,679561
051010000000,2002,674097
051010000000,2003,669786
051010000000,2004,667356
051010000000,2005,660643
051010000000,2006,656743
051010000000,2007,656009
051010000000,2008,658366
051010000000,2009,662902
051010000000,2010,653810
051010000000,2011,639528
051010000000,2012,626689
051010000000,2013,617811
051010000000,2014,609801
051010000000,2015,609660
051010000000,2016,611654
051010000000,2017,612874
051010000000,2018,632561
051010000000,2019,635253
051010000000,2020,636944
052610000000,1999,338312
052610000000,2000,336268
052610000000,2001,329934
052610000000,2002,326910
052610000000,2003,324430
052610000000,2004,321934
052610000000,2005,318397
052610000000,2006,316490
052610000000,2007,316055
052610000000,2008,317174
052610000000,2009,317028
052610000000,2010,310885
052610000000,2011,307448
052610000000,2012,305979
052610000000,2013,302540
052610000000,2014,299783
052610000000,2015,300408
052610000000,2016,301974
052610000000,2017,302955
052610000000,2018,311121
052610000000,2019,312529
052610000000,2020,312726
060610000000,1999,623463
060610000000,2000,601868
060610000000,2001,591238
060610000000,2002,583287
060610000000,2003,576247
060610000000,2004,572526
060610000000,2005,564527
060610000000,2006,557854
060610000000,2007,553065
060610000000,2008,552021
060610000000,2009,551472
060610000000,2010,543923
060610000000,2011,533411
060610000000,2012,523258
060610000000,2013,516159
060610000000,2014,508715
060610000000,2015,507614
060610000000,2016,508444
060610000000,2017,508894
060610000000,2018,521232
060610000000,2019,523890
060610000000,2020,525098
061810000000,1999,513659
061810000000,2000,510864
061810000000,2001,500389
061810000000,2002,496365
061810000000,2003,493847
061810000000,2004,492628
061810000000,2005,486990
061810000000,2006,483522
061810000000,2007,482473
061810000000,2008,481789
061810000000,2009,481177
061810000000,2010,472174
061810000000,2011,466521
061810000000,2012,463011
061810000000,2013,458395
061810000000,2014,452801
061810000000,2015,451736
061810000000,2016,452043
061810000000,2017,451304
061810000000,2018,462754
061810000000,2019,465743
061810000000,2020,466896
062010000000,1999,355200
062010000000,2000,291695
062010000000,2001,287700
062010000000,2002,284768
062010000000,2003,283386
062010000000,2004,282145
062010000000,2005,279096
062010000000,2006,276913
062010000000,2007,275893
062010000000,2008,276065
062010000000,2009,278088
062010000000,2010,276277
062010000000,2011,269976
062010000000,2012,264110
062010000000,2013,260316
062010000000,2014,256927
062010000000,2015,257862
062010000000,2016,259299
062010000000,2017,260271
062010000000,2018,268673
062010000000,2019,270730
062010000000,2020,271895
071410000000,1999,0
071410000000,2000,0
071410000000,2001,0
071410000000,2002,0
071410000000,2003,0
071410000000,2004,0
071410000000,2005,0
071410000000,2006,0
071410000000,2007,0
071410000000,2008,0
071410000000,2009,0
071410000000,2010,0
071410000000,2011,0
071410000000,2012,0
071410000000,2013,0
071410000000,2014,0
071410000000,2015,0
071410000000,2016,0
071410000000,2017,0
071410000000,2018,0
071410000000,2019,0
071410000000,2020,0
071420000000,1999,0
071420000000,2000,0
071420000000,2001,0
071420000000,2002,0
071420000000,2003,0
071420000000,2004,0
071420000000,2005,0
071420000000,2006,0
071420000000,2007,0
071420000000,2008,0
071420000000,2009,0
071420000000,2010,0
071420000000,2011,0
071420000000,2012,0
071420000000,2013,0
071420000000,2014,0
071420000000,2015,0
071420000000,2016,0
071420000000,2017,0
071420000000,2018,0
071420000000,2019,0
071420000000,2020,0
